,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
56,12422.0,4428.24,14,2010-11-10 13:19:00,30,6,44.282399999999996
63,12431.0,4370.52,13,2010-12-01 10:03:00,9,6,43.705200000000005
67,12437.0,7731.99,21,2010-11-09 14:46:00,31,6,77.3199
87,12471.0,20139.739999999998,49,2010-11-30 14:35:00,10,6,201.39739999999998
88,12472.0,11308.48,13,2010-12-05 14:19:00,5,6,113.0848
89,12474.0,5048.66,13,2010-11-26 12:19:00,14,6,50.486599999999996
91,12476.0,7298.99,12,2010-11-08 09:35:00,32,6,72.98989999999999
95,12482.0,23691.4,29,2010-05-12 16:51:00,212,6,236.91400000000002
129,12540.0,8854.25,16,2010-11-26 10:43:00,14,6,88.5425
150,12583.0,7166.0599999999995,13,2010-12-01 08:45:00,9,6,71.66059999999999
170,12621.0,11086.14,16,2010-12-09 10:16:00,1,6,110.86139999999999
186,12647.0,14201.53,27,2010-12-07 12:28:00,3,6,142.0153
209,12681.0,17080.74,24,2010-12-07 10:08:00,3,6,170.80740000000003
210,12682.0,11745.69,23,2010-12-09 14:49:00,1,6,117.4569
226,12709.0,21356.82,20,2010-12-08 09:49:00,2,6,213.5682
250,12747.0,5080.53,16,2010-12-05 15:38:00,5,6,50.805299999999995
251,12748.0,22879.66,144,2010-12-09 13:22:00,1,6,228.7966
306,12823.0,4742.0,13,2010-11-10 12:22:00,30,6,47.42
311,12835.0,6043.31,41,2010-10-08 10:59:00,63,6,60.4331
315,12839.0,4480.31,13,2010-12-07 15:48:00,3,6,44.8031
319,12843.0,4886.15,22,2010-11-22 13:31:00,18,6,48.8615
376,12921.0,19333.95,39,2010-12-08 10:14:00,2,6,193.33950000000002
383,12931.0,50291.38,42,2010-11-24 10:09:00,16,6,502.9138
389,12939.0,13683.0,12,2010-11-25 14:50:00,15,6,136.83
397,12949.0,11359.48,14,2010-11-22 15:45:00,18,6,113.59479999999999
412,12971.0,4782.88,33,2010-12-08 16:21:00,2,6,47.8288
421,12980.0,8870.880000000001,12,2010-11-18 14:31:00,22,6,88.70880000000001
426,12989.0,6627.64,18,2010-10-11 12:36:00,60,6,66.27640000000001
435,13001.0,14353.28,20,2010-10-31 13:14:00,40,6,143.5328
437,13004.0,5994.94,18,2010-11-18 19:08:00,22,6,59.9494
445,13013.0,7814.83,18,2010-12-03 12:29:00,7,6,78.1483
457,13027.0,10423.2,13,2010-11-19 15:51:00,21,6,104.23200000000001
473,13047.0,5557.62,17,2010-12-01 08:35:00,9,6,55.5762
476,13050.0,6507.67,19,2010-12-08 09:30:00,2,6,65.0767
488,13069.0,5247.01,16,2010-12-05 11:03:00,5,6,52.4701
495,13078.0,16904.510000000002,32,2010-12-08 09:07:00,2,6,169.04510000000002
498,13081.0,30867.77,19,2010-12-03 17:21:00,7,6,308.6777
506,13089.0,57912.03,109,2010-12-06 14:00:00,4,6,579.1203
507,13090.0,5192.27,13,2010-12-09 16:11:00,1,6,51.922700000000006
510,13093.0,47111.18,48,2010-12-01 15:00:00,9,6,471.1118
513,13097.0,7378.8,18,2010-11-16 09:50:00,24,6,73.788
515,13102.0,5272.83,14,2010-12-09 13:38:00,1,6,52.7283
526,13113.0,6379.7699999999995,14,2010-12-08 13:21:00,2,6,63.79769999999999
547,13141.0,5279.83,12,2010-11-19 10:51:00,21,6,52.7983
551,13148.0,4914.6900000000005,14,2010-11-15 17:43:00,25,6,49.1469
561,13162.0,7587.2,12,2010-11-24 15:35:00,16,6,75.872
588,13199.0,6615.77,30,2010-12-08 10:51:00,2,6,66.1577
594,13206.0,8377.32,13,2010-11-04 16:50:00,36,6,83.7732
635,13267.0,5236.77,18,2010-12-08 09:20:00,2,6,52.367700000000006
675,13317.0,4212.411,13,2010-11-19 10:06:00,21,6,42.12411
676,13319.0,11236.95,34,2010-12-09 10:05:00,1,6,112.3695
680,13327.0,6251.71,14,2010-12-09 15:33:00,1,6,62.5171
726,13408.0,23616.422,46,2010-12-03 09:39:00,7,6,236.16422
734,13418.0,6106.17,15,2010-12-02 10:46:00,8,6,61.0617
739,13426.0,4526.06,12,2010-11-22 11:22:00,18,6,45.260600000000004
771,13468.0,7685.54,38,2010-12-06 13:34:00,4,6,76.8554
820,13542.0,4006.17,17,2010-11-28 11:24:00,12,6,40.0617
839,13564.0,15500.53,35,2010-12-06 17:26:00,4,6,155.0053
860,13590.0,4367.67,12,2010-11-29 11:40:00,11,6,43.676700000000004
867,13599.0,5013.96,14,2010-12-08 10:13:00,2,6,50.1396
921,13668.0,6726.35,14,2010-11-21 11:52:00,19,6,67.26350000000001
939,13694.0,131443.19,94,2010-12-01 12:12:00,9,6,1314.4319
957,13715.0,7403.95,13,2010-12-02 08:52:00,8,6,74.0395
992,13767.0,18320.170000000002,39,2010-12-05 13:29:00,5,6,183.20170000000002
1001,13777.0,30501.260000000002,37,2010-12-08 15:35:00,2,6,305.0126
1020,13798.0,38683.02,54,2010-12-02 17:24:00,8,6,386.8302
1023,13802.0,21659.69,16,2010-11-30 12:28:00,10,6,216.59689999999998
1040,13831.0,4820.59,13,2010-12-05 12:13:00,5,6,48.2059
1057,13854.0,4144.44,15,2010-12-09 10:48:00,1,6,41.444399999999995
1077,13881.0,28019.58,23,2010-11-29 16:24:00,11,6,280.1958
1120,13952.0,9572.45,12,2010-11-24 14:29:00,16,6,95.7245
1134,13969.0,4311.93,18,2010-12-09 19:32:00,1,6,43.1193
1157,13999.0,5600.45,17,2010-11-30 09:46:00,10,6,56.0045
1180,14030.0,5902.2,14,2010-12-08 16:29:00,2,6,59.022
1181,14031.0,23712.31,27,2010-12-09 17:34:00,1,6,237.12310000000002
1188,14040.0,9030.65,23,2010-11-18 13:01:00,22,6,90.3065
1192,14045.0,9653.279999999999,13,2010-12-01 11:32:00,9,6,96.5328
1196,14051.0,6823.610000000001,15,2010-12-08 12:49:00,2,6,68.23610000000001
1204,14062.0,15139.35,12,2010-11-30 11:00:00,10,6,151.39350000000002
1222,14085.0,5656.43,16,2010-12-06 12:39:00,4,6,56.5643
1239,14110.0,7304.8,21,2010-09-30 17:13:00,71,6,73.048
1241,14113.0,5252.1900000000005,12,2010-11-29 15:53:00,11,6,52.5219
1255,14134.0,11123.35,15,2010-11-22 12:26:00,18,6,111.2335
1270,14156.0,196566.74,102,2010-12-03 11:48:00,7,6,1965.6673999999998
1298,14194.0,7321.07,15,2010-11-12 12:26:00,28,6,73.2107
1343,14249.0,5625.461,12,2010-10-25 12:34:00,46,6,56.25461
1350,14258.0,19381.36,16,2010-11-09 10:08:00,31,6,193.8136
1373,14291.0,4020.85,12,2010-11-24 09:47:00,16,6,40.2085
1379,14298.0,39667.19,38,2010-11-29 13:35:00,11,6,396.67190000000005
1380,14299.0,10533.87,19,2010-12-09 10:30:00,1,6,105.3387
1443,14395.0,4700.3,12,2010-12-02 18:15:00,8,6,47.003
1464,14422.0,6007.88,13,2010-11-30 10:43:00,10,6,60.0788
1546,14527.0,19283.48,69,2010-12-09 12:32:00,1,6,192.8348
1557,14543.0,11276.44,23,2010-11-24 10:20:00,16,6,112.76440000000001
1571,14560.0,3876.2599999999998,22,2010-11-25 09:50:00,15,6,38.7626
1607,14606.0,18704.41,102,2010-12-08 12:08:00,2,6,187.0441
1638,14646.0,248396.5,78,2010-11-30 16:28:00,10,6,2483.965
1640,14648.0,4546.86,15,2010-10-19 13:12:00,52,6,45.468599999999995
1652,14667.0,12685.94,31,2010-12-09 14:19:00,1,6,126.85940000000001
1665,14680.0,28658.66,43,2010-12-03 12:05:00,7,6,286.5866
1688,14709.0,3965.29,12,2010-11-25 11:28:00,15,6,39.6529
1709,14735.0,6174.47,24,2010-11-16 13:39:00,24,6,61.7447
1713,14739.0,8385.22,19,2010-12-07 14:58:00,3,6,83.8522
1727,14755.0,4962.27,14,2010-11-23 14:42:00,17,6,49.6227
1794,14849.0,7832.91,21,2010-12-01 12:23:00,9,6,78.3291
1828,14895.0,13980.83,18,2010-11-21 13:51:00,19,6,139.8083
1842,14911.0,152147.57,205,2010-12-09 12:17:00,1,6,1521.4757
1872,14952.0,9529.86,21,2010-11-08 12:21:00,32,6,95.29860000000001
1879,14961.0,9365.47,13,2010-11-25 09:46:00,15,6,93.65469999999999
1913,15005.0,7789.63,29,2010-12-08 14:36:00,2,6,77.8963
1938,15039.0,20116.99,47,2010-12-06 11:26:00,4,6,201.1699
1943,15044.0,8504.1,18,2010-11-25 13:13:00,15,6,85.041
1953,15061.0,83284.38,86,2010-12-07 13:50:00,3,6,832.8438000000001
1966,15078.0,8018.77,23,2010-12-06 12:39:00,4,6,80.1877
1976,15093.0,9729.09,18,2010-12-02 18:25:00,8,6,97.29090000000001
2010,15144.0,5579.87,12,2010-11-25 18:50:00,15,6,55.7987
2045,15194.0,4811.16,14,2010-12-06 15:00:00,4,6,48.111599999999996
2094,15260.0,7377.46,20,2010-12-02 12:09:00,8,6,73.7746
