,Customer ID,MonetaryValue,Frequency,LastInvoiceDate,Recency,Cluster,MonetaryValue per 100 pounds
0,12346.0,372.86,11,2010-06-28 13:53:00,165,1,3.7286
1,12347.0,1323.32,2,2010-12-07 14:57:00,3,1,13.2332
2,12348.0,222.16,1,2010-09-27 14:59:00,74,3,2.2216
3,12349.0,2671.14,3,2010-10-28 08:23:00,43,2,26.711399999999998
4,12351.0,300.93,1,2010-11-29 15:23:00,11,3,3.0093
5,12352.0,343.8,2,2010-11-29 10:07:00,11,3,3.438
6,12353.0,317.76,1,2010-10-27 12:44:00,44,3,3.1776
7,12355.0,488.21000000000004,1,2010-05-21 11:59:00,203,0,4.8821
8,12356.0,3562.25,3,2010-11-24 12:24:00,16,2,35.6225
10,12358.0,2719.01,3,2010-11-29 10:56:00,11,2,27.1901
11,12359.0,2563.36,6,2010-10-10 11:16:00,61,2,25.6336
12,12360.0,1590.83,5,2010-11-25 11:04:00,15,1,15.908299999999999
13,12361.0,321.35,3,2010-09-03 15:19:00,98,3,3.2135000000000002
14,12362.0,130.0,1,2009-12-01 10:10:00,374,0,1.3
15,12366.0,500.24,1,2010-03-16 10:28:00,269,0,5.0024
16,12368.0,917.6999999999999,1,2010-03-21 15:56:00,264,0,9.177
17,12369.0,1791.15,3,2010-10-22 13:13:00,49,1,17.9115
18,12370.0,774.62,3,2010-03-25 12:10:00,260,0,7.7462
19,12371.0,2179.42,3,2010-10-26 13:37:00,45,1,21.7942
20,12373.0,763.0500000000001,2,2010-03-25 13:49:00,260,0,7.6305000000000005
21,12374.0,2246.29,3,2010-10-14 13:31:00,57,1,22.4629
22,12376.0,503.15,2,2010-11-15 12:15:00,25,3,5.031499999999999
23,12377.0,1798.2,2,2010-11-23 19:24:00,17,1,17.982
24,12378.0,1407.7,1,2010-05-26 14:07:00,198,0,14.077
25,12379.0,767.98,2,2010-10-13 14:46:00,58,3,7.6798
27,12385.0,1938.4,1,2010-11-25 15:14:00,15,1,19.384
28,12386.0,258.9,1,2010-12-08 09:53:00,2,3,2.589
29,12387.0,143.94,1,2010-10-20 16:27:00,51,3,1.4394
30,12388.0,1120.45,2,2010-09-20 12:41:00,81,3,11.204500000000001
31,12389.0,1433.33,3,2010-11-02 11:52:00,38,1,14.3333
32,12391.0,2312.53,5,2010-09-01 12:38:00,100,2,23.125300000000003
33,12392.0,234.75000000000003,1,2010-04-27 14:04:00,227,0,2.3475
34,12393.0,816.85,2,2010-11-22 16:10:00,18,3,8.1685
35,12395.0,2048.64,4,2010-12-03 16:35:00,7,1,20.4864
36,12396.0,931.43,1,2010-02-03 13:22:00,310,0,9.3143
37,12399.0,853.65,3,2010-11-19 08:53:00,21,1,8.5365
38,12400.0,205.25,1,2010-10-21 13:45:00,50,3,2.0525
39,12402.0,1031.3,5,2010-11-12 09:50:00,28,1,10.312999999999999
40,12403.0,591.6600000000001,1,2010-07-06 11:39:00,157,0,5.916600000000001
41,12404.0,63.24,1,2010-01-26 16:25:00,318,0,0.6324000000000001
42,12406.0,2975.06,3,2010-11-05 11:42:00,35,2,29.7506
43,12408.0,1452.22,3,2010-11-19 13:21:00,21,1,14.5222
45,12410.0,320.38,1,2010-07-25 13:26:00,138,3,3.2037999999999998
46,12411.0,346.9,1,2010-10-26 09:25:00,45,3,3.469
47,12412.0,1370.05,3,2010-11-02 17:02:00,38,1,13.7005
48,12413.0,241.35,1,2010-11-02 13:26:00,38,3,2.4135
49,12414.0,390.0,3,2010-09-02 13:47:00,99,3,3.9
51,12416.0,202.56,1,2010-02-21 10:19:00,292,0,2.0256
52,12417.0,3167.81,11,2010-10-25 14:27:00,46,2,31.6781
53,12418.0,1352.62,3,2010-10-22 10:29:00,49,1,13.5262
54,12419.0,503.01,2,2010-11-19 10:04:00,21,3,5.0301
55,12421.0,291.56,2,2010-10-20 14:28:00,51,3,2.9156
57,12423.0,763.08,2,2010-11-17 11:33:00,23,3,7.630800000000001
58,12424.0,1579.07,2,2010-10-13 10:29:00,58,1,15.7907
59,12425.0,964.21,1,2010-09-17 14:10:00,84,3,9.642100000000001
60,12426.0,762.48,1,2010-02-15 08:41:00,298,0,7.6248000000000005
61,12427.0,303.5,1,2010-12-03 10:44:00,7,3,3.035
62,12429.0,3735.51,5,2010-12-09 12:05:00,1,2,37.3551
65,12434.0,297.29,1,2010-11-23 13:38:00,17,3,2.9729
68,12439.0,1158.18,2,2010-01-26 12:11:00,318,0,11.581800000000001
69,12440.0,859.2,2,2010-09-03 13:11:00,98,3,8.592
70,12441.0,173.55,1,2010-12-08 10:45:00,2,3,1.7355
71,12443.0,485.31,1,2009-12-07 15:42:00,368,0,4.8531
72,12445.0,301.58000000000004,1,2010-10-15 12:28:00,56,3,3.0158000000000005
73,12449.0,768.6,2,2010-10-25 12:21:00,46,3,7.686
74,12450.0,490.32,3,2010-11-05 16:27:00,35,3,4.9032
75,12451.0,3634.36,3,2010-09-02 15:38:00,99,2,36.3436
77,12455.0,3413.09,4,2010-09-20 14:39:00,81,2,34.130900000000004
78,12457.0,632.68,1,2010-09-30 17:59:00,71,3,6.3267999999999995
79,12458.0,830.09,2,2010-10-08 11:36:00,63,3,8.3009
80,12459.0,454.36,1,2010-04-13 14:53:00,241,0,4.5436000000000005
81,12460.0,326.65,1,2010-09-09 13:51:00,92,3,3.2664999999999997
82,12466.0,56.73,1,2010-01-26 16:26:00,318,0,0.5672999999999999
83,12467.0,132.8,1,2010-10-12 15:41:00,59,3,1.328
84,12468.0,2941.2,3,2010-07-01 10:28:00,162,2,29.412
85,12469.0,3070.54,2,2010-07-05 12:40:00,158,2,30.7054
86,12470.0,211.95,1,2010-01-19 11:01:00,325,0,2.1195
90,12475.0,426.26,1,2010-10-26 08:49:00,45,3,4.2626
93,12480.0,2183.2200000000003,3,2010-11-05 15:08:00,35,1,21.832200000000004
96,12483.0,2635.6,11,2010-11-26 12:35:00,14,2,26.355999999999998
97,12484.0,1828.43,6,2010-08-13 13:45:00,119,1,18.2843
98,12485.0,708.1,1,2010-06-28 15:22:00,165,0,7.081
